fields,fix,restriction,notes,artcc_giving,artcc_receiving
CVG,,FL310- (TERGE.SARGO# / TERGE HEREE SARGO),West of FAPER,ZME,ZID
CVG,,FL230- (JRICO.SARGO#),East of FAPER,ZME,ZID
"LUK,HAO,I69,K62",,FL330- (JRICO HEREE SARGO JIMUR),PXV/IMP sectors,ZME,ZID
"LUK,HAO,I69,K62",,FL270- (MYS SARGO JIMUR),LOU/MYS sectors,ZME,ZID
EVV,,FL230 descending 14000',ZID 17/19,ZME,ZID
"IND,EYE,MQJ,TYQ",,FL330- (TERGE.SMUKE#),"ZME 05/25/33, RNAV",ZME,ZID
"IND,EYE,MQJ,TYQ",,FL330- (PXV.RACYR#),"ZME 05/25/33, non-RNAV",ZME,ZID
"IND,EYE,MQJ,TYQ",,FL330- (HAGAL.GIBBS#),"ZME 40/41/63/61, RNAV",ZME,ZID
LEX,,FL270 descending FL240 (IIU FEDRA / UNCKL) ,East of GUMMA,ZME,ZID
"SDF,LOU,JVY",,FL290- (MOOCH.BUMPY.MBELL#),"Jets, able direct PENBE",ZME,ZID
"SDF,LOU,JVY",,13000-,"Props, east of GUMMA",ZME,ZID
"SDF,LOU,JVY",,FL230-,"Props, west of GUMMA",ZME,ZID
"SDF,LOU,JVY",,FL230- (SWAPP DNUTS ARUSH COBBZ.LEDDL#),Jets from BNA terminal,ZME,ZID
STL,,FL280- (BOOSH#),"RNAV, east of J180",ZME,ZKC
STL,,FL240- (FAM DCT) ,"Non-RNAV, east of J180",ZME,ZKC
STL,,Route only (SGF.KAYLA#),"RNAV, west of J180",ZME,ZKC
STL,,Route only (SGF.KOOOP#),"Non-RNAV, west of J180",ZME,ZKC
STL,,FL230- (MWA DCT / over BOOSH track),"Turboprop, east of J180",ZME,ZKC
"ALN,BLV,CPS,SUS",,FL350- (DELMA# / DELMA DCT),West of J180,ZME,ZKC
"ALN,BLV,CPS",,FL270- ,East of J180,ZME,ZKC
SUS,,FL270- (SLVER DCT) ,East of CGI,ZME,ZKC
SUS,,FL270- (FAM.SLVER#) ,East of J180,ZME,ZKC
MCI,,Route only (KRTNY/NELVY.MHOMS#),RNAV,ZME,ZKC
MCI,,Route only (SGF/KRAZO.TYGER#),Non-RNAV,ZME,ZKC
MKC,,Route only (SGF/KRAZO.TYGER#),,ZME,ZKC
TUL,30 NM from TUL,At 10000',Aircraft cruising 10000+,ZME,ZKC
TUL,,At 6000',Aircraft cruising 6000-9000' ,ZME,ZKC
TUL,,DCT KTUL / TUL VORTAC,Aircraft at 4000' or 6000' ,ZME,ZKC
TUL,,DCT IAF at 15000',Aircraft requesting HI approach,ZME,ZKC
PLK,,At or descending to 6000' (dct PLK),,ZME,ZKC
BBG,,"6000' (CADAN BBG when instrument, DCT BBG when vis)",,ZME,ZKC
"MSY,NEW",,FL290- (TRSSH#),,ZME,ZHU
"ASD,HDC,HUM,NBG",,FL290-,,ZME,ZHU
"PNS,NPA",,Routes only (LOXLY PENSI or routes overlying),,ZME,ZHU
"DTS,HRT,VPS",,Routes only (MURRY/LOXLY CEW or routes overlying),,ZME,ZHU
"BFM,CQF,JKA,MOB,PQL,1R8",,"FL280, descending 10000'",East of J31,ZME,ZHU
"BTR,HZR,REG,BIX,GPT,HSA,MJD",,FL290-,East of J35,ZME,ZHU
"BTR,HZR,REG",,"FL280, descending FL240",West of J35 ,ZME,ZHU
"ARA,IYA,LFT,OPL,3R2,4R7",,FL340-,West of J35 ,ZME,ZHU
"PIB,HBG,LUL",,Descending 5000',ZHU CTL on contact,ZME,ZHU
"AEX,ESF",,FL230 descending 13000',West of J35 ,ZME,ZHU
DFW,,"Route only (N BRDJE#, S SEEVR#)","RNAV, Jet, N of J52",ZME,ZFW
DFW,,Route only (WILBR#),"Non-RNAV, Prop, N of J52",ZME,ZFW
DFW,,"Route only (N WHINY#, S BEREE#)","RNAV, Jet, S of J52",ZME,ZFW
DFW,,Route only (CQY#),"Non-RNAV, Prop, S of J52",ZME,ZFW
DAL,,"Route only (N CRIKT#, S HIBIL#)","RNAV, Jet, N of J52",ZME,ZFW
DAL,,Route only (FINGR#),"Non-RNAV, Prop, N of J52",ZME,ZFW
DAL,,"Route only (N MNNDO#, S REDDN#)","RNAV, Jet, S of J52",ZME,ZFW
DAL,,Route only (YEAGR#),"Non-RNAV, Prop, S of J52",ZME,ZFW
"ADS,TKI,RBD,HQZ",,Route only (SLANT#),"RNAV, Jet, N of J52",ZME,ZFW
"ADS,TKI,RBD,HQZ",,Route only (FINGR#),"Non-RNAV, Prop, N of J52",ZME,ZFW
"ADS,TKI,RBD,HQZ",,"Route only (N EESAT#, S LOADS#)","RNAV, Jet, S of J52",ZME,ZFW
"ADS,TKI,RBD,HQZ",,Route only (YEAGR#),"Non-RNAV, Prop, S of J52",ZME,ZFW
"DTO,AFW,FTW,NFW,GPM,GKY,FWS",,Route only (TRUUK#),"RNAV, Jet, N of J52",ZME,ZFW
"DTO,AFW,FTW,NFW,GPM,GKY,FWS",,Route only (SASIE),"Non-RNAV, Prop, N of J52",ZME,ZFW
"DTO,AFW,FTW,NFW,GPM,GKY,FWS",,Route only (REEKO#),"RNAV, Jet, S of J52",ZME,ZFW
"DTO,AFW,FTW,NFW,GPM,GKY,FWS",,Route only (DODJE#),"Non-RNAV, Prop, S of J52",ZME,ZFW
"ELD,CDH",,Descending to 4000',,ZME,ZFW
TXK,,FL230-,,ZME,ZFW
ATL,,Route only (LGC#),"Non-RNAV, Prop, from ZME46/43",ZME,ZTL
ATL,,"Route only (E GNDLF#, W HOBTT#)","RNAV, Jet, from ZME46/43",ZME,ZTL
ATL,,FL330- (GLAVN#) ,"RNAV, Jet, from ZME31",ZME,ZTL
ATL,,FL330- (RMG#),"Non-RNAV, Prop, from ZME31/ZME62",ZME,ZTL
ATL,,FL330- (CHPPR#),"RNAV, Jet, from ZME62",ZME,ZTL
"RYY,PDK,PUJ,FTY,FFC,VPC,LZU,6A2,CVC,MGE,HMP,CCO,D73",,FL350- (BUKHD# / SWTEE#) ,ZME,ZTL
BHM,,FL230 descending 13000' (LYMPH DCT) ,South of CBM RAPCON,ZME,ZTL
BHM,NULLS / arrival fix,"11000' (250kts from the west RWY6, from the north RWY24)",,ZME,ZTL
"MGM,MXF,SEM",,FL330-,South of J66,ZME,ZTL
"MGM,MXF,SEM",,FL290 descending FL240,From ZME46/ZME11,ZME,ZTL
"TYS,DKX,MOR,GKT",,At FL210,North of V16 ,ZME,ZTL
